	book_envelope_200d	book_pullback_ma20	book_pullback_ma5	daytrading_3methods_breakout	elder_ema_pullback	minervini_volume_dryup	rs_leader	combo_live_sum
2021H1	0.0	-1.6465083656372475	0.8873438856715476	2.881233105686354	1.5220220569085763	1.0089357598244602	0.0	1.539592725989518
2021H2	0.7496446011950001	1.7892946984130522	-1.749040697569539	2.5194438599749938	1.1474926928485252	0.00242984444158098	1.1963494634309255	1.1902860602592904
2022H1	-4.297532447582687	-1.2672619266337783	-2.811556401807499	-2.7032388024912413	-2.7121021240506584	-2.6453659452908447	-2.909404922059964	-3.6039418618541803
2022H2	1.731810262417343	-0.834119950126824	-1.388949156331408	1.1748327079841305	0.7986207603790295	0.7202726898389394	-0.15057579841418572	0.27997119899022865
2023H1	2.5280651332816495	-0.10510597274248484	-0.25650667069232175	2.4881741548895544	3.1639339462251477	2.081565807715688	4.046507577563731	3.1445922245135263
2023H2	1.6707194748504457	-1.801300223238259	-1.1843098532931742	2.059172971614916	0.26467250570447454	0.792387090752207	0.7548452001607392	0.46232316806682955
2024H1	0.6384002602655466	0.42526227695736357	1.164288711101695	0.5551984653761052	0.9711770218928335	0.004120627358627628	0.8780651410413696	0.6804567548472866
2024H2	-1.0804075180545667	-3.684949311100192	-4.456887778719018	0.010085646873944714	-2.101048368896766	-0.7451622705771703	-0.9661787671408018	-2.2368142596953264
2025H1	1.0254856034545654	1.66686651608885	0.6456457144710123	1.011519600245756	3.271181443137712	2.5401075442823546	3.189501419634609	3.03961281156736
2025H2	1.7883973738454206	-0.18445342506480017	-2.2588805658863675	2.0138190501537427	2.704942110148367	3.0592333667799836	0.8412902993797264	1.7663518661308704
2026H1	2.018116701061993	2.2706798045464947	1.1232522829451843	1.7348036081833476	3.3897459231421405	0.04232455496828504	3.3104188818734763	3.147234569961264
