KG ETS	B	151860	KG에코솔루션	high	agent3
노터스	B	278650	HLB바이오스텝	high	agent3
수산중공업	B	017550	수산세보틱스	high	agent3
KG모빌리언스	B	046440	KG파이낸셜	high	agent3
광림	C	014200	상폐2025	high	agent3
넷게임즈	B	225570	넥슨게임즈	high	agent3
비올	C	335890	자진상폐2025	high	agent3
에코바이오	B	038870	에코심플렉스	high	agent3
지니뮤직	B	043610	KT지니뮤직	high	agent3
KPX생명과학	B	114450	그린생명과학	high	agent3
게임빌	B	063080	컴투스홀딩스	high	agent3
녹십자랩셀	B	144510	지씨셀	high	agent3
덕신하우징	B	090410	덕신EPC	high	agent3
래몽래인	?	200350	래몽래인	mid	agent3
링크제네시스	A	219420	링크제니시스	high	agent3
바이오리더스	B	142760	비엘	high	agent3
소니드	B	060230	제이케이시냅스	high	agent3
아이티센	B	124500	아이티센글로벌	high	agent3
일진머티리얼즈	B	020150	롯데에너지머티리얼즈	high	agent3
코프라	B	126600	BGF에코머티리얼즈	high	agent3
하인크코리아	?	373200	하인크코리아	mid	agent3
효성첨단소재	B	298050	HS효성첨단소재	high	agent3
HSD엔진	B	082740	한화엔진	high	agent3
KH E&T	?	226360	KHE&T	mid	agent3
KTH	B	036030	KT알파	high	agent3
LS전서아시아	B	229640	LS에코에너지	high	agent3
SK바이오랜드 외 6개	B	052260	현대바이오랜드	mid	agent3
TCC	?	002710	TCC스틸	low	agent3
갤럭시아너미트리	A	094480	갤럭시아머니트리	high	agent3
골프존뉴딘홀딩스	?	121440	골프존뉴딘홀딩스	mid	agent3
네온테크	B	306620	지아이에스	high	agent3
녹십자렙셀	B	144510	지씨셀	high	agent3
대림B&Co	B	005750	대림바스	high	agent3
대성차투	A	027830	대성창업투자	high	agent3
대한뉴	A	054670	대한뉴팜	high	agent3
동아기업	?			low	agent3
라이프시멘틱스	B	347700	스피어코퍼레이션	high	agent3
레이저셀	?	412350	레이저셀	mid	agent3
리노스	?	039980	리노스	mid	agent3
마니커에프엔지	A	195500	마니커에프앤지	high	agent3
메이슨케피탈	A	021880	메이슨캐피탈	high	agent3
미래에셋밴처투자	A	100790	미래에셋벤처투자	high	agent3
바이로그디바이스	A	208710	바이오로그디바이스	high	agent3
브랜드엑스코퍼레이션	?	337930	브랜드엑스코퍼레이션	mid	agent3
사조씨푸트	A	014710	사조씨푸드	high	agent3
삼포판지	A	023600	삼보판지	low	agent3
세원	?	234100	세원	mid	agent3
셀리버리	C	268600	상폐	high	agent3
쎄미시스코	B	136510	스마트솔루션즈	high	agent3
아이엔스	A	099190	아이센스	low	agent3
애머릿지	?	900100	애머릿지	mid	agent3
에스에이티이엔지	?	351320	에스에이티이엔지	mid	agent3
에이치엘비	?	028300	에이치엘비	mid	agent3
에이트원	C	230980	상폐2026	high	agent3
엔브에이치코리아	A	067570	엔비에이치코리아	high	agent3
오성첨산소재	B	298050	HS효성첨단소재	high	agent3
오하임아이엔티	?	309930	오하임아이엔티	mid	agent3
우리손에프엔지	A	073560	우리손에프앤지	high	agent3
유니트론	A	142210	유니트론텍	high	agent3
이디티	?	215090	이디티	mid	agent3
이삭엔지니어랑	A	351330	이삭엔지니어링	high	agent3
이트론	?	096040	이트론	mid	agent3
장원테크	?	174880	장원테크	mid	agent3
제이엔케이히터	?	126880	제이엔케이히터	mid	agent3
진메트릭스	A	109820	진매트릭스	high	agent3
컬러에이	A	900310	컬러레이	low	agent3
코리아에스이	?	101670	코리아에스이	mid	agent3
코오롱플라스틱	B	138490	코오롱ENP	high	agent3
클릭스노믹스	A	352770	클리노믹스	low	agent3
포스코 ICT	B	022100	포스코DX	high	agent3
퓨처켐	A	220100	퓨쳐켐	high	agent3
한국비앤씨	A	256840	한국비엔씨	high	agent3
해성티피씨	?	059270	해성티피씨	mid	agent3
홈센타홀딩스	?	060560	홈센타홀딩스	mid	agent3
효성중고업	A	298040	효성중공업	high	agent3
